cutoff_q,城市,train_years,holdout_years,n_units,p_holdout_repeat_2021_2022,p_holdout_mean_2021_2022,p_holdout_ever_2021_2022,X_train_2018_2020,lambda_train_2018_2020,non_escape_train_2018_2020,lambda_denominator,delta_active_train_2018_2020,delta_all3_train_2018_2020,delta_denominator,train_bottom_share_mean,train_bottom_share_2020,p11_train_2018_2020,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.2,丹东,2018-2020,2021-2022,57,0.08771929824561403,0.21052631578947367,0.3333333333333333,0.3333333333333333,0.375,0.625,16,0.8181818181818182,0.5454545454545454,11,0.21052631578947367,0.21052631578947367,0.6666666666666666,24,0.17045454545454544,0.11363636363636362,0.3333333333333333,0.04432132963988919,0.14035087719298245,0.14035087719298245
0.2,保定,2018-2020,2021-2022,30,0.06666666666666667,0.2,0.3333333333333333,0.3333333333333333,0.5,0.5,8,0.8,0.6,5,0.2,0.2,0.5833333333333334,12,0.13333333333333333,0.09999999999999999,0.3333333333333333,0.04000000000000001,0.11666666666666668,0.11666666666666668
0.2,北京,2018-2020,2021-2022,4426,0.18300948938093087,0.20018075011296882,0.21735201084500677,0.22910076818798011,0.11813471502590674,0.8818652849740932,965,0.9522184300341296,0.8703071672354948,879,0.20018075011296882,0.20018075011296882,0.9119638826185101,1772,0.19238241627651745,0.17583339122047292,0.22910076818798011,0.040072332715790866,0.18255761409850882,0.18255761409850882
0.2,南京,2018-2020,2021-2022,497,0.16498993963782696,0.2012072434607646,0.23742454728370221,0.24346076458752516,0.15178571428571427,0.8482142857142857,112,0.9191919191919192,0.8080808080808081,99,0.2012072434607646,0.2012072434607646,0.875,200,0.18981947238989494,0.16687426144166587,0.24346076458752516,0.0404843548210794,0.17605633802816903,0.17605633802816903
0.2,吉林,2018-2020,2021-2022,150,0.14,0.2,0.26,0.36,0.45454545454545453,0.5454545454545454,44,0.7407407407407407,0.3333333333333333,27,0.2,0.2,0.55,60,0.14545454545454545,0.06545454545454545,0.36,0.04000000000000001,0.11000000000000001,0.11000000000000001
0.2,呼和浩特,2018-2020,2021-2022,109,0.1559633027522936,0.2018348623853211,0.24770642201834864,0.26605504587155965,0.2857142857142857,0.7142857142857143,28,0.9545454545454546,0.6818181818181818,22,0.2018348623853211,0.2018348623853211,0.7954545454545454,44,0.18140116763969977,0.12957226259978555,0.26605504587155965,0.04073731167410151,0.16055045871559634,0.16055045871559634
0.2,哈尔滨,2018-2020,2021-2022,358,0.09497206703910614,0.2011173184357542,0.30726256983240224,0.37988826815642457,0.5454545454545454,0.4545454545454546,110,0.8070175438596491,0.43859649122807015,57,0.20297951582867785,0.2011173184357542,0.5136986301369864,146,0.13935295323122432,0.07573530066914365,0.37988826815642457,0.04120068384604448,0.10427029922706055,0.103313690977271
0.2,唐山,2018-2020,2021-2022,75,0.14666666666666667,0.2,0.25333333333333335,0.3466666666666667,0.36363636363636365,0.6363636363636364,22,0.7857142857142857,0.35714285714285715,14,0.2,0.2,0.6333333333333333,30,0.17333333333333334,0.0787878787878788,0.3466666666666667,0.04000000000000001,0.12666666666666668,0.12666666666666668
0.2,大连,2018-2020,2021-2022,1318,0.17071320182094082,0.20030349013657056,0.2298937784522003,0.2298937784522003,0.10877192982456141,0.8912280701754386,285,0.9571984435797666,0.9027237354085603,257,0.20030349013657056,0.20030349013657056,0.9204545454545454,528,0.19611827227534007,0.1849570697881256,0.2298937784522003,0.04012148816089122,0.18437025796661607,0.18437025796661607
0.2,天津,2018-2020,2021-2022,2635,0.17229601518026566,0.2,0.22770398481973433,0.2318785578747628,0.14408233276157806,0.8559176672384219,583,0.9577735124760077,0.8618042226487524,521,0.2,0.2,0.8994307400379506,1054,0.19008830751449024,0.1710413829138399,0.2318785578747628,0.04000000000000001,0.17988614800759015,0.17988614800759015
0.2,太原,2018-2020,2021-2022,92,0.13043478260869565,0.20652173913043478,0.2826086956521739,0.32608695652173914,0.4666666666666667,0.5333333333333333,30,1.0,0.42105263157894735,19,0.20652173913043478,0.20652173913043478,0.631578947368421,38,0.17391304347826086,0.07322654462242563,0.32608695652173914,0.042651228733459355,0.13043478260869565,0.13043478260869565
0.2,常州,2018-2020,2021-2022,69,0.13043478260869565,0.2028985507246377,0.2753623188405797,0.2753623188405797,0.1875,0.8125,16,0.8461538461538461,0.7692307692307693,13,0.2028985507246377,0.2028985507246377,0.8214285714285714,28,0.18931159420289853,0.17210144927536233,0.2753623188405797,0.041167821886158376,0.16666666666666666,0.16666666666666666
0.2,廊坊,2018-2020,2021-2022,226,0.168141592920354,0.20353982300884957,0.23893805309734514,0.2920353982300885,0.288135593220339,0.711864406779661,59,0.8125,0.5,48,0.20353982300884957,0.20353982300884957,0.717391304347826,92,0.16891030448477576,0.10394480275986201,0.2920353982300885,0.041428459550473806,0.14601769911504425,0.14601769911504425
0.2,张家口,2018-2020,2021-2022,27,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.4444444444444444,0.6666666666666666,0.33333333333333337,12,1.0,0.0,6,0.2222222222222222,0.2222222222222222,0.3333333333333333,12,0.14814814814814817,0.0,0.4444444444444444,0.04938271604938271,0.07407407407407407,0.07407407407407407
0.2,徐州,2018-2020,2021-2022,317,0.1167192429022082,0.20189274447949526,0.2870662460567823,0.3280757097791798,0.4,0.6,90,0.8333333333333334,0.4666666666666667,60,0.20189274447949526,0.20189274447949526,0.640625,128,0.1640378548895899,0.09186119873817035,0.3280757097791798,0.04076068027346277,0.12933753943217666,0.12933753943217666
0.2,无锡,2018-2020,2021-2022,312,0.125,0.20192307692307693,0.27884615384615385,0.2916666666666667,0.3493975903614458,0.6506024096385542,83,0.8870967741935484,0.5967741935483871,62,0.202991452991453,0.20192307692307693,0.7165354330708661,127,0.16833462883793238,0.11324329576369997,0.2916666666666667,0.04120552998758127,0.14545056867891512,0.14468503937007873
0.2,沈阳,2018-2020,2021-2022,652,0.15030674846625766,0.200920245398773,0.25153374233128833,0.2607361963190184,0.2389937106918239,0.7610062893081762,159,0.9230769230769231,0.7230769230769231,130,0.20143149284253578,0.200920245398773,0.8174904942965779,263,0.18315866330682862,0.14347428625701572,0.2607361963190184,0.04057464630877254,0.16466833065074218,0.16425039072523268
0.2,石家庄,2018-2020,2021-2022,524,0.1450381679389313,0.20038167938931298,0.25572519083969464,0.29389312977099236,0.35507246376811596,0.644927536231884,138,0.9175257731958762,0.6597938144329897,97,0.20038167938931298,0.20038167938931298,0.7285714285714285,210,0.17390762594621473,0.1250571692197499,0.29389312977099236,0.040152817434881416,0.14599236641221375,0.14599236641221375
0.2,长春,2018-2020,2021-2022,442,0.12217194570135746,0.20135746606334842,0.28054298642533937,0.3076923076923077,0.375,0.625,120,0.8795180722891566,0.5783132530120482,83,0.20135746606334842,0.20135746606334842,0.6910112359550562,178,0.1691380908248378,0.11121408711770157,0.3076923076923077,0.04054482913945251,0.13914027149321267,0.13914027149321267
0.25,上海,2018-2020,2021-2022,3292,0.22964763061968407,0.25,0.2703523693803159,0.281591737545565,0.11409395973154363,0.8859060402684564,894,0.9634146341463414,0.8804878048780488,820,0.25,0.25,0.9198055893074119,1646,0.24033709601613618,0.21964985230841813,0.281591737545565,0.0625,0.22995139732685296,0.22995139732685296
0.25,丹东,2018-2020,2021-2022,57,0.12280701754385964,0.2631578947368421,0.40350877192982454,0.40350877192982454,0.35,0.65,20,0.8,0.4666666666666667,15,0.2631578947368421,0.2631578947368421,0.6666666666666666,30,0.20982456140350877,0.12239766081871345,0.40350877192982454,0.06925207756232686,0.17543859649122806,0.17543859649122806
0.25,保定,2018-2020,2021-2022,30,0.16666666666666666,0.26666666666666666,0.36666666666666664,0.43333333333333335,0.3,0.7,10,0.625,0.375,8,0.26666666666666666,0.26666666666666666,0.625,16,0.18958333333333333,0.11375,0.43333333333333335,0.07111111111111111,0.16666666666666666,0.16666666666666666
0.25,北京,2018-2020,2021-2022,4426,0.23090826931766834,0.2501129688206055,0.2693176683235427,0.27699954812471755,0.09335576114381834,0.9066442388561816,1189,0.9622302158273381,0.8839928057553957,1112,0.2501129688206055,0.2501129688206055,0.9308943089430894,2214,0.24165453919618132,0.2220059925512582,0.27699954812471755,0.06255649717225718,0.23282873926796205,0.23282873926796205
0.25,南京,2018-2020,2021-2022,497,0.20321931589537223,0.2515090543259557,0.29979879275653926,0.2977867203219316,0.1366906474820144,0.8633093525179856,139,0.9508196721311475,0.860655737704918,122,0.2515090543259557,0.2515090543259557,0.9,250,0.24443868067468377,0.22125915061070514,0.2977867203219316,0.06325680440793655,0.22635814889336014,0.22635814889336014
0.25,吉林,2018-2020,2021-2022,150,0.16666666666666666,0.25333333333333335,0.34,0.41333333333333333,0.37037037037037035,0.6296296296296297,54,0.7692307692307693,0.3333333333333333,39,0.25333333333333335,0.25333333333333335,0.618421052631579,76,0.2001899335232669,0.08674897119341564,0.41333333333333333,0.06417777777777779,0.15666666666666668,0.15666666666666668
0.25,呼和浩特,2018-2020,2021-2022,109,0.2018348623853211,0.25688073394495414,0.3119266055045872,0.3394495412844037,0.23529411764705882,0.7647058823529411,34,0.9615384615384616,0.8076923076923077,26,0.25688073394495414,0.25688073394495414,0.8392857142857143,56,0.24959525094441445,0.20966001079330815,0.3394495412844037,0.06598771147209831,0.21559633027522937,0.21559633027522937
0.25,哈尔滨,2018-2020,2021-2022,358,0.12290502793296089,0.25139664804469275,0.37988826815642457,0.441340782122905,0.46825396825396826,0.5317460317460317,126,0.7945205479452054,0.5342465753424658,73,0.25139664804469275,0.25139664804469275,0.5888888888888889,180,0.18645904319739168,0.12537763249479789,0.441340782122905,0.06320027464810712,0.14804469273743018,0.14804469273743018
0.25,唐山,2018-2020,2021-2022,75,0.2,0.25333333333333335,0.30666666666666664,0.38666666666666666,0.37037037037037035,0.6296296296296297,27,0.85,0.4,20,0.25333333333333335,0.25333333333333335,0.6578947368421053,38,0.20693827160493827,0.09738271604938273,0.38666666666666666,0.06417777777777779,0.16666666666666669,0.16666666666666669
0.25,大连,2018-2020,2021-2022,1318,0.21396054628224584,0.2503793626707132,0.2867981790591806,0.2959028831562974,0.15217391304347827,0.8478260869565217,368,0.9625,0.875,320,0.2503793626707132,0.2503793626707132,0.896969696969697,660,0.24146640166259814,0.21951491060236195,0.2959028831562974,0.06268982525139254,0.22458270106221548,0.22458270106221548
0.25,天津,2018-2020,2021-2022,2635,0.21783681214421252,0.2500948766603416,0.2823529411764706,0.28994307400379504,0.14246196403872752,0.8575380359612725,723,0.958139534883721,0.8806201550387597,645,0.2500948766603416,0.2500948766603416,0.9013657056145675,1318,0.23822914478924834,0.21895494213639652,0.28994307400379504,0.06254744733175147,0.22542694497153704,0.22542694497153704
0.25,太原,2018-2020,2021-2022,92,0.15217391304347827,0.25,0.34782608695652173,0.358695652173913,0.3225806451612903,0.6774193548387097,31,0.9130434782608695,0.5652173913043478,23,0.25,0.25,0.7391304347826086,46,0.2218580401243978,0.1373406915055796,0.358695652173913,0.0625,0.18478260869565216,0.18478260869565216
0.25,常州,2018-2020,2021-2022,69,0.2028985507246377,0.2608695652173913,0.3188405797101449,0.36231884057971014,0.15,0.85,20,0.7647058823529411,0.7058823529411765,17,0.2608695652173913,0.2608695652173913,0.8055555555555556,36,0.23550724637681156,0.21739130434782608,0.36231884057971014,0.06805293005671077,0.21014492753623187,0.21014492753623187
