城市,community_id,first_exposure_year,available_years_after_first,bottom_years_total,longest_bottom_streak,persistent_bottom_3plus,immediate_repeat_after_first,any_repeat_after_first,reentry_after_gap,eligible_one_step,path_one_shot,path_short_repeat_nonpersistent,path_continuous_persistent,path_fragmented_persistent
北京,北京||大兴||西红门||理想家园,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||西红门||金华园,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||西红门||金荣园,2018,4,2,2,False,True,True,False,True,False,True,False,False
北京,北京||大兴||观音寺||双河南里,2018,4,3,3,True,True,True,False,True,False,False,True,False
北京,北京||大兴||观音寺||宇丰苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||大兴||观音寺||海子角南里,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||大兴||观音寺||海子角西里,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||大兴||观音寺||观音寺南里,2018,4,2,2,False,True,True,False,True,False,True,False,False
北京,北京||大兴||观音寺||观音寺小区,2018,4,3,2,True,True,True,True,True,False,False,False,True
北京,北京||大兴||观音寺||辛店小区,2019,3,4,4,True,True,True,False,True,False,False,True,False
北京,北京||大兴||高米店||泰中花园,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||高米店||郁花园二里,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||高米店||金惠园三里南区,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||高米店||青岛嘉园,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||黄村中||兴辰大厦,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||大兴||黄村中||黄村东里,2020,2,2,1,False,False,True,True,True,False,True,False,False
北京,北京||大兴||黄村火车站||义和庄东里,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||大兴||黄村火车站||兴水家园,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||大兴||黄村火车站||漪景园,2018,4,3,3,True,True,True,False,True,False,False,True,False
北京,北京||大兴||黄村火车站||长兴公寓,2018,4,4,3,True,False,True,True,True,False,False,True,False
北京,北京||房山||城关||中冶蓝城东区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||房山||燕山||迎风一里,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||房山||窦店||万科幸福汇,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||房山||窦店||山水汇豪苑A区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||房山||窦店||山水汇豪苑B区,2018,4,5,5,True,True,True,False,True,False,False,True,False
