country,frame_type,frame_id,frame_name,window_start,window_end,cohort_type,lower_tail_q,persistent_min_count,min_transactions_per_unit_year,min_units_per_frame_year,n_units,n_exposed,n_repeat_exposed,n_persistent,escape_denominator,escape_numerator,X_exposure,lambda_immediate_escape,delta_repeat_deepening,P_observed,P_predicted_pathway,P_predicted_exposure_only,absolute_error_pathway,absolute_error_exposure_only,hardening_kernel
UK,bua,E63012369,,2018,2022,balanced,0.2,3,3,10,13,4,2,2,4,2,0.3076923076923077,0.5,1.0,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.15384615384615385,0.5
UK,bua,E63013847,,2018,2022,balanced,0.2,3,3,10,11,2,2,2,2,1,0.18181818181818182,0.5,1.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.5
UK,lad,E06000004,,2018,2022,available,0.2,3,3,10,11,3,2,2,2,1,0.2727272727272727,0.5,1.0,0.18181818181818182,0.13636363636363635,0.2727272727272727,0.04545454545454547,0.09090909090909088,0.5
UK,lad,E06000010,,2018,2022,available,0.2,3,3,10,11,4,2,2,4,3,0.36363636363636365,0.75,1.0,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.25
UK,lad,E06000011,,2018,2022,available,0.2,3,3,10,23,6,5,3,6,3,0.2608695652173913,0.5,0.6,0.13043478260869565,0.07826086956521738,0.2608695652173913,0.052173913043478265,0.13043478260869565,0.3
UK,lad,E06000013,,2018,2022,available,0.2,3,3,10,13,3,3,3,3,1,0.23076923076923078,0.3333333333333333,1.0,0.23076923076923078,0.15384615384615388,0.23076923076923078,0.0769230769230769,0.0,0.6666666666666667
UK,lad,E06000014,,2018,2022,available,0.2,3,3,10,10,4,4,1,4,1,0.4,0.25,0.25,0.1,0.07500000000000001,0.4,0.024999999999999994,0.30000000000000004,0.1875
UK,lad,E06000019,,2018,2022,available,0.2,3,3,10,17,5,4,3,5,2,0.29411764705882354,0.4,0.75,0.17647058823529413,0.1323529411764706,0.29411764705882354,0.04411764705882354,0.11764705882352941,0.44999999999999996
UK,lad,E06000020,,2018,2022,available,0.2,3,3,10,10,2,2,2,2,0,0.2,0.0,1.0,0.2,0.2,0.2,0.0,0.0,1.0
UK,lad,E06000023,,2018,2022,available,0.2,3,3,10,15,5,3,3,4,1,0.3333333333333333,0.25,1.0,0.2,0.25,0.3333333333333333,0.04999999999999999,0.1333333333333333,0.75
UK,lad,E06000024,,2018,2022,available,0.2,3,3,10,13,2,2,2,2,0,0.15384615384615385,0.0,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.0,1.0
UK,lad,E06000025,,2018,2022,available,0.2,3,3,10,13,3,3,3,3,0,0.23076923076923078,0.0,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,1.0
UK,lad,E06000037,,2018,2022,available,0.2,3,3,10,11,3,3,2,3,0,0.2727272727272727,0.0,0.6666666666666666,0.18181818181818182,0.1818181818181818,0.2727272727272727,2.7755575615628914e-17,0.09090909090909088,0.6666666666666666
UK,lad,E06000041,,2018,2022,available,0.2,3,3,10,10,4,2,1,3,1,0.4,0.3333333333333333,0.5,0.1,0.13333333333333336,0.4,0.033333333333333354,0.30000000000000004,0.33333333333333337
UK,lad,E06000042,,2018,2022,available,0.2,3,3,10,19,5,4,3,5,2,0.2631578947368421,0.4,0.75,0.15789473684210525,0.11842105263157894,0.2631578947368421,0.039473684210526314,0.10526315789473684,0.44999999999999996
UK,lad,E06000046,,2018,2022,available,0.2,3,3,10,12,3,3,2,3,0,0.25,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.0,0.08333333333333334,0.6666666666666666
UK,lad,E06000047,,2018,2022,available,0.2,3,3,10,28,6,5,5,6,1,0.21428571428571427,0.16666666666666666,1.0,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.0,0.0357142857142857,0.8333333333333334
UK,lad,E06000049,,2018,2022,available,0.2,3,3,10,22,5,4,4,5,1,0.22727272727272727,0.2,1.0,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.0,0.04545454545454544,0.8
UK,lad,E06000050,,2018,2022,available,0.2,3,3,10,19,4,3,3,4,1,0.21052631578947367,0.25,1.0,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.0,0.05263157894736842,0.75
UK,lad,E06000051,,2018,2022,available,0.2,3,3,10,33,10,6,6,9,3,0.30303030303030304,0.3333333333333333,1.0,0.18181818181818182,0.20202020202020204,0.30303030303030304,0.02020202020202022,0.12121212121212122,0.6666666666666667
UK,lad,E06000052,,2018,2022,available,0.2,3,3,10,46,13,9,8,13,5,0.2826086956521739,0.38461538461538464,0.8888888888888888,0.17391304347826086,0.15458937198067632,0.2826086956521739,0.019323671497584544,0.10869565217391303,0.5470085470085471
UK,lad,E06000054,,2018,2022,available,0.2,3,3,10,27,9,6,4,8,4,0.3333333333333333,0.5,0.6666666666666666,0.14814814814814814,0.1111111111111111,0.3333333333333333,0.037037037037037035,0.18518518518518517,0.3333333333333333
UK,lad,E06000055,,2018,2022,available,0.2,3,3,10,10,3,2,1,1,1,0.3,1.0,0.5,0.1,0.0,0.3,0.1,0.19999999999999998,0.0
UK,lad,E06000056,,2018,2022,available,0.2,3,3,10,17,5,4,3,4,1,0.29411764705882354,0.25,0.75,0.17647058823529413,0.16544117647058823,0.29411764705882354,0.011029411764705899,0.11764705882352941,0.5625
UK,lad,E06000057,,2018,2022,available,0.2,3,3,10,33,8,6,6,7,2,0.24242424242424243,0.2857142857142857,1.0,0.18181818181818182,0.17316017316017318,0.24242424242424243,0.008658008658008642,0.06060606060606061,0.7142857142857143
UK,lad,E06000058,,2018,2022,available,0.2,3,3,10,20,4,4,4,4,0,0.2,0.0,1.0,0.2,0.2,0.2,0.0,0.0,1.0
UK,lad,E06000059,,2018,2022,available,0.2,3,3,10,25,6,5,5,5,0,0.24,0.0,1.0,0.2,0.24,0.24,0.03999999999999998,0.03999999999999998,1.0
UK,lad,E06000060,,2018,2022,available,0.2,3,3,10,40,11,7,7,9,2,0.275,0.2222222222222222,1.0,0.175,0.2138888888888889,0.275,0.03888888888888892,0.10000000000000003,0.7777777777777778
UK,lad,E06000061,,2018,2022,available,0.2,3,3,10,14,4,2,2,3,2,0.2857142857142857,0.6666666666666666,1.0,0.14285714285714285,0.09523809523809525,0.2857142857142857,0.0476190476190476,0.14285714285714285,0.33333333333333337
UK,lad,E06000062,,2018,2022,available,0.2,3,3,10,14,3,3,2,3,2,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.04761904761904762,0.21428571428571427,0.09523809523809523,0.07142857142857142,0.22222222222222224
UK,lad,E06000063,,2018,2022,available,0.2,3,3,10,27,9,6,6,8,3,0.3333333333333333,0.375,1.0,0.2222222222222222,0.20833333333333331,0.3333333333333333,0.013888888888888895,0.1111111111111111,0.625
UK,lad,E06000064,,2018,2022,available,0.2,3,3,10,24,7,4,4,7,5,0.2916666666666667,0.7142857142857143,1.0,0.16666666666666666,0.08333333333333333,0.2916666666666667,0.08333333333333333,0.12500000000000003,0.2857142857142857
UK,lad,E06000065,,2018,2022,available,0.2,3,3,10,52,14,11,10,12,2,0.2692307692307692,0.16666666666666666,0.9090909090909091,0.19230769230769232,0.20396270396270397,0.2692307692307692,0.011655011655011649,0.0769230769230769,0.7575757575757576
UK,lad,E06000066,,2018,2022,available,0.2,3,3,10,45,15,10,8,13,6,0.3333333333333333,0.46153846153846156,0.8,0.17777777777777778,0.14358974358974358,0.3333333333333333,0.034188034188034205,0.15555555555555553,0.4307692307692308
UK,lad,E07000012,,2018,2022,available,0.2,3,3,10,16,7,5,2,7,2,0.4375,0.2857142857142857,0.4,0.125,0.125,0.4375,0.0,0.3125,0.28571428571428575
UK,lad,E07000032,,2018,2022,available,0.2,3,3,10,10,3,2,2,3,1,0.3,0.3333333333333333,1.0,0.2,0.2,0.3,0.0,0.09999999999999998,0.6666666666666667
UK,lad,E07000039,,2018,2022,available,0.2,3,3,10,11,4,2,2,3,1,0.36363636363636365,0.3333333333333333,1.0,0.18181818181818182,0.24242424242424246,0.36363636363636365,0.060606060606060635,0.18181818181818182,0.6666666666666667
UK,lad,E07000040,,2018,2022,available,0.2,3,3,10,14,4,3,2,4,2,0.2857142857142857,0.5,0.6666666666666666,0.14285714285714285,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.14285714285714285,0.3333333333333333
UK,lad,E07000043,,2018,2022,available,0.2,3,3,10,11,3,3,2,3,0,0.2727272727272727,0.0,0.6666666666666666,0.18181818181818182,0.1818181818181818,0.2727272727272727,2.7755575615628914e-17,0.09090909090909088,0.6666666666666666
UK,lad,E07000044,,2018,2022,available,0.2,3,3,10,15,3,3,3,3,0,0.2,0.0,1.0,0.2,0.2,0.2,0.0,0.0,1.0
UK,lad,E07000046,,2018,2022,available,0.2,3,3,10,11,5,2,1,4,2,0.45454545454545453,0.5,0.5,0.09090909090909091,0.11363636363636363,0.45454545454545453,0.02272727272727272,0.36363636363636365,0.25
UK,lad,E07000064,,2018,2022,available,0.2,3,3,10,12,2,2,2,2,0,0.16666666666666666,0.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0
