department,balanced_communes,ever_full_share,exposure_share_observable,lambda_immediate_escape,non_escape_share,delta_deepen_given_immediate_repeat,persistent_share_3plus,minimal_law_prediction,exposure_only_prediction,persistent_count,observable_exposed_count,immediate_repeat_count,persistent_among_immediate_repeat_count,median_commune_price_per_m2,total_transactions,minimal_abs_error,exposure_only_abs_error,minimal_beats_exposure_only
59,551,0.3684210526315789,0.3484573502722323,0.47395833333333337,0.5260416666666666,0.7623762376237624,0.17422867513611615,0.13974591651542648,0.3484573502722323,96,192,101,77,1824.083769633508,215434,0.03448275862068967,0.17422867513611615,True
60,400,0.4125,0.3875,0.5096774193548388,0.49032258064516127,0.8289473684210527,0.195,0.1575,0.3875,78,155,76,63,2209.4613788911793,59889,0.037500000000000006,0.1925,True
61,210,0.5238095238095238,0.4714285714285714,0.6161616161616161,0.3838383838383838,0.5263157894736842,0.10476190476190476,0.09523809523809523,0.4714285714285714,22,99,38,20,1396.4839572192514,29351,0.009523809523809532,0.36666666666666664,True
62,508,0.42322834645669294,0.39173228346456695,0.542713567839196,0.457286432160804,0.7252747252747253,0.1673228346456693,0.1299212598425197,0.39173228346456695,85,199,91,66,1742.8683945796308,107246,0.037401574803149595,0.22440944881889766,True
63,331,0.4229607250755287,0.38972809667673713,0.5736434108527132,0.4263565891472868,0.7090909090909091,0.18126888217522658,0.11782477341389727,0.38972809667673713,60,129,55,39,1580.5,61739,0.0634441087613293,0.20845921450151056,True
64,234,0.4230769230769231,0.38461538461538464,0.5333333333333333,0.4666666666666667,0.8333333333333334,0.1752136752136752,0.14957264957264957,0.38461538461538464,41,90,42,35,2105.573310135166,65385,0.025641025641025633,0.20940170940170943,True
65,110,0.4636363636363636,0.44545454545454544,0.6326530612244898,0.3673469387755102,0.6666666666666666,0.15454545454545454,0.10909090909090909,0.44545454545454544,17,49,18,12,1760.415601023018,24016,0.045454545454545456,0.2909090909090909,True
66,151,0.3509933774834437,0.33112582781456956,0.42000000000000004,0.58,0.7586206896551724,0.18543046357615894,0.1456953642384106,0.33112582781456956,28,50,29,22,2421.6671206250803,69376,0.03973509933774835,0.14569536423841062,True
69,254,0.37401574803149606,0.3464566929133858,0.48863636363636365,0.5113636363636364,0.9111111111111111,0.16929133858267717,0.16141732283464566,0.3464566929133858,43,88,45,41,3336.3075777390295,155948,0.00787401574803151,0.17716535433070865,True
70,168,0.4107142857142857,0.3869047619047619,0.6153846153846154,0.38461538461538464,0.84,0.17261904761904762,0.12500000000000003,0.3869047619047619,29,65,25,21,1300.5102040816328,16293,0.04761904761904759,0.2142857142857143,True
71,353,0.45892351274787535,0.42492917847025496,0.5933333333333333,0.4066666666666667,0.7049180327868853,0.16147308781869688,0.12181303116147309,0.42492917847025496,57,150,61,43,1555.5555555555557,52723,0.03966005665722379,0.26345609065155806,True
72,279,0.4731182795698925,0.44086021505376344,0.6504065040650406,0.34959349593495936,0.6511627906976745,0.12903225806451613,0.10035842293906812,0.44086021505376344,36,123,43,28,1435.1851851851852,56797,0.028673835125448008,0.3118279569892473,True
73,212,0.42452830188679247,0.39622641509433965,0.5476190476190477,0.4523809523809524,0.7894736842105263,0.16981132075471697,0.14150943396226418,0.39622641509433965,36,84,38,30,3088.5987791342955,56512,0.028301886792452796,0.22641509433962267,True
74,250,0.408,0.38,0.5157894736842106,0.4842105263157895,0.782608695652174,0.168,0.14400000000000002,0.38,42,95,46,36,4222.446030136192,96153,0.023999999999999994,0.212,True
76,497,0.4969818913480885,0.44466800804828976,0.6289592760180995,0.37104072398190047,0.6585365853658537,0.13078470824949698,0.1086519114688129,0.44466800804828976,65,221,82,54,2000.0,122551,0.022132796780684083,0.3138832997987928,True
77,413,0.36077481840193704,0.3389830508474576,0.4571428571428572,0.5428571428571428,0.8157894736842105,0.18401937046004843,0.15012106537530265,0.3389830508474576,76,140,76,62,2725.663716814159,121693,0.03389830508474578,0.15496368038740918,True
78,224,0.35714285714285715,0.3392857142857143,0.4605263157894737,0.5394736842105263,0.7804878048780488,0.18303571428571427,0.14285714285714288,0.3392857142857143,41,76,41,32,3468.830128205128,107375,0.0401785714285714,0.15625000000000003,True
79,216,0.5046296296296297,0.4444444444444444,0.6770833333333333,0.3229166666666667,0.7096774193548387,0.1388888888888889,0.10185185185185186,0.4444444444444444,30,96,31,22,1210.9726631254714,39918,0.037037037037037035,0.3055555555555555,True
80,312,0.4358974358974359,0.41025641025641024,0.609375,0.390625,0.74,0.16346153846153846,0.11858974358974357,0.41025641025641024,51,128,50,37,1598.2514965908722,45638,0.04487179487179489,0.24679487179487178,True
81,171,0.4269005847953216,0.3742690058479532,0.46875,0.53125,0.8235294117647058,0.1871345029239766,0.16374269005847952,0.3742690058479532,32,64,34,28,1730.3921568627452,34099,0.023391812865497075,0.1871345029239766,True
82,123,0.4715447154471545,0.43089430894308944,0.6226415094339622,0.37735849056603776,0.9,0.1951219512195122,0.14634146341463417,0.43089430894308944,24,53,20,18,1809.734513274336,25277,0.04878048780487804,0.23577235772357724,True
83,147,0.3469387755102041,0.32653061224489793,0.41666666666666663,0.5833333333333334,0.8928571428571429,0.22448979591836735,0.17006802721088435,0.32653061224489793,33,48,28,25,3557.4354166666662,172980,0.054421768707483,0.10204081632653059,True
84,129,0.4496124031007752,0.3875968992248062,0.6,0.4,0.75,0.15503875968992248,0.11627906976744187,0.3875968992248062,20,50,20,15,3222.218253968254,54385,0.038759689922480606,0.23255813953488375,True
85,240,0.3458333333333333,0.3333333333333333,0.38749999999999996,0.6125,0.8367346938775511,0.2,0.17083333333333334,0.3333333333333333,48,80,49,41,1956.6737844078275,79034,0.029166666666666674,0.1333333333333333,True
